2015-12-28 06:29:30 startup archives install
2015-12-28 06:29:30 install base-passwd:amd64 <none> 3.5.37
2015-12-28 06:29:30 status half-installed base-passwd:amd64 3.5.37
2015-12-28 06:29:30 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:30 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:30 configure base-passwd:amd64 3.5.37 3.5.37
2015-12-28 06:29:30 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:30 status half-configured base-passwd:amd64 3.5.37
2015-12-28 06:29:31 status installed base-passwd:amd64 3.5.37
2015-12-28 06:29:31 startup archives install
2015-12-28 06:29:31 install base-files:amd64 <none> 8+deb8u2
2015-12-28 06:29:31 status half-installed base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 configure base-files:amd64 8+deb8u2 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:31 status half-configured base-files:amd64 8+deb8u2
2015-12-28 06:29:32 status installed base-files:amd64 8+deb8u2
2015-12-28 06:29:32 startup archives install
2015-12-28 06:29:32 upgrade dpkg 1.17.25 1.17.25
2015-12-28 06:29:32 status half-configured dpkg 1.17.25
2015-12-28 06:29:32 status unpacked dpkg 1.17.25
2015-12-28 06:29:32 status half-installed dpkg 1.17.25
2015-12-28 06:29:33 status half-installed dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 configure dpkg 1.17.25 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status unpacked dpkg 1.17.25
2015-12-28 06:29:33 status half-configured dpkg 1.17.25
2015-12-28 06:29:33 status installed dpkg 1.17.25
2015-12-28 06:29:33 startup archives install
2015-12-28 06:29:33 install libc6:amd64 <none> 2.19-18+deb8u1
2015-12-28 06:29:33 status half-installed libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:35 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:35 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:35 configure libc6:amd64 2.19-18+deb8u1 2.19-18+deb8u1
2015-12-28 06:29:35 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:35 status unpacked libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:35 status half-configured libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:36 status installed libc6:amd64 2.19-18+deb8u1
2015-12-28 06:29:36 startup archives install
2015-12-28 06:29:36 install perl-base:amd64 <none> 5.20.2-3+deb8u1
2015-12-28 06:29:36 status half-installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 configure perl-base:amd64 5.20.2-3+deb8u1 5.20.2-3+deb8u1
2015-12-28 06:29:38 status unpacked perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 status half-configured perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 status installed perl-base:amd64 5.20.2-3+deb8u1
2015-12-28 06:29:38 startup archives install
2015-12-28 06:29:38 install mawk:amd64 <none> 1.3.3-17
2015-12-28 06:29:38 status half-installed mawk:amd64 1.3.3-17
2015-12-28 06:29:38 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:29:38 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:29:38 configure mawk:amd64 1.3.3-17 1.3.3-17
2015-12-28 06:29:38 status unpacked mawk:amd64 1.3.3-17
2015-12-28 06:29:38 status half-configured mawk:amd64 1.3.3-17
2015-12-28 06:29:38 status installed mawk:amd64 1.3.3-17
2015-12-28 06:29:38 startup archives install
2015-12-28 06:29:39 install debconf:all <none> 1.5.56
2015-12-28 06:29:39 status half-installed debconf:all 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 configure debconf:all 1.5.56 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 status unpacked debconf:all 1.5.56
2015-12-28 06:29:39 status half-configured debconf:all 1.5.56
2015-12-28 06:29:40 status installed debconf:all 1.5.56
2015-12-28 06:29:40 startup archives unpack
2015-12-28 06:29:40 install acl:amd64 <none> 2.2.52-2
2015-12-28 06:29:40 status half-installed acl:amd64 2.2.52-2
2015-12-28 06:29:41 status unpacked acl:amd64 2.2.52-2
2015-12-28 06:29:41 status unpacked acl:amd64 2.2.52-2
2015-12-28 06:29:41 install libacl1:amd64 <none> 2.2.52-2
2015-12-28 06:29:41 status half-installed libacl1:amd64 2.2.52-2
2015-12-28 06:29:41 status unpacked libacl1:amd64 2.2.52-2
2015-12-28 06:29:41 status unpacked libacl1:amd64 2.2.52-2
2015-12-28 06:29:41 install adduser:all <none> 3.113+nmu3
2015-12-28 06:29:41 status half-installed adduser:all 3.113+nmu3
2015-12-28 06:29:41 status unpacked adduser:all 3.113+nmu3
2015-12-28 06:29:41 status unpacked adduser:all 3.113+nmu3
2015-12-28 06:29:42 install libattr1:amd64 <none> 1:2.4.47-2
2015-12-28 06:29:42 status half-installed libattr1:amd64 1:2.4.47-2
2015-12-28 06:29:42 status unpacked libattr1:amd64 1:2.4.47-2
2015-12-28 06:29:42 status unpacked libattr1:amd64 1:2.4.47-2
2015-12-28 06:29:42 install libaudit-common:all <none> 1:2.4-1
2015-12-28 06:29:42 status half-installed libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 status unpacked libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 status unpacked libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 install libaudit1:amd64 <none> 1:2.4-1+b1
2015-12-28 06:29:42 status half-installed libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 upgrade base-files:amd64 8+deb8u2 8+deb8u2
2015-12-28 06:29:42 status half-configured base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status half-installed base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status half-installed base-files:amd64 8+deb8u2
2015-12-28 06:29:43 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:43 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:43 upgrade base-passwd:amd64 3.5.37 3.5.37
2015-12-28 06:29:43 status half-configured base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status half-installed base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status half-installed base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 install bash:amd64 <none> 4.3-11+b1
2015-12-28 06:29:43 status half-installed bash:amd64 4.3-11+b1
2015-12-28 06:29:44 status unpacked bash:amd64 4.3-11+b1
2015-12-28 06:29:44 status unpacked bash:amd64 4.3-11+b1
2015-12-28 06:29:44 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
